127.0.0.1 - - [29/May/2020:10:08:04 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [29/May/2020:10:09:38 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:10:09:40 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:09:49 +0530] "OPTIONS /lmsspringrest/borrowedBooks HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:10:09:50 +0530] "POST /lmsspringrest/borrowedBooks HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [29/May/2020:10:10:11 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [29/May/2020:10:10:18 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [29/May/2020:10:10:24 +0530] "POST /lmsspringrest/borrowedBooks HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [29/May/2020:10:11:22 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [29/May/2020:10:11:59 +0530] "OPTIONS /lmsspringrest/requestBook HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:10:11:59 +0530] "POST /lmsspringrest/requestBook HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [29/May/2020:10:12:51 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/May/2020:10:12:59 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:05 +0530] "OPTIONS /lmsspringrest/bookIssue HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:06 +0530] "POST /lmsspringrest/bookIssue HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:08 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:25 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:30 +0530] "POST /lmsspringrest/borrowedBooks HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [29/May/2020:10:13:58 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [29/May/2020:10:14:37 +0530] "POST /lmsspringrest/requestBook HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [29/May/2020:10:15:03 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/May/2020:10:15:08 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [29/May/2020:10:15:20 +0530] "POST /lmsspringrest/bookIssue HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [29/May/2020:10:15:22 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [29/May/2020:10:16:10 +0530] "POST /lmsspringrest/bookIssue HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [29/May/2020:10:16:13 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [29/May/2020:10:16:32 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:00 +0530] "POST /lmsspringrest/borrowedBooks HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:09 +0530] "OPTIONS /lmsspringrest/returnBook HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:10 +0530] "POST /lmsspringrest/returnBook HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:14 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 1767
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:17 +0530] "POST /lmsspringrest/borrowedBooks HTTP/1.1" 200 94
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:40 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/May/2020:10:17:52 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [29/May/2020:13:03:20 +0530] "OPTIONS /lmsspringrest/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/May/2020:13:03:20 +0530] "POST /lmsspringrest/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [29/May/2020:13:03:54 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:13:29:06 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:13:45:13 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:14:40:10 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:14:40:18 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:14:40:26 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:14:40:43 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:14:41:16 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:15:29:21 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:15:30:37 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:19:00:59 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:20:59:01 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:21:11:40 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:21:13:56 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:21:58:34 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:21:59:30 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:22:00:05 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:22:24:49 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:22:31:02 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:22:31:10 +0530] "GET /lmsspringrest/booksInfo HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [29/May/2020:22:38:41 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:39:16 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:39:49 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:40:26 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:40:37 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:40:50 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [29/May/2020:22:41:10 +0530] "GET /lmsspringrest/showRequests HTTP/1.1" 200 560
